Year,SNR (dB)
2018 (Pre-Covid),6.649627135
2018 (Pre-Covid),3.053409893
2018 (Pre-Covid),5.908182358
2018 (Pre-Covid),1.284732008
2018 (Pre-Covid),5.399332878
2018 (Pre-Covid),5.782151274
2018 (Pre-Covid),2.750881604
2018 (Pre-Covid),12.03642988
2018 (Pre-Covid),10.09458738
2018 (Pre-Covid),2.90303841
2018 (Pre-Covid),10.96549532
2018 (Pre-Covid),-3.195662255
2018 (Pre-Covid),8.870338683
2018 (Pre-Covid),13.40616143
2018 (Pre-Covid),-2.894077541
2019 (Pre-Covid),0.9297354882
2019 (Pre-Covid),12.35452908
2019 (Pre-Covid),6.405130353
2019 (Pre-Covid),10.53181728
2019 (Pre-Covid),10.31367075
2019 (Pre-Covid),-2.894077541
2019 (Pre-Covid),11.07340328
2019 (Pre-Covid),7.954879053
2019 (Pre-Covid),2.596853461
2019 (Pre-Covid),6.7709566
2019 (Pre-Covid),7.250596326
2019 (Pre-Covid),2.122590018
2019 (Pre-Covid),1.627761006
2019 (Pre-Covid),2.440862128
2020 (Covid),9.764089272
2020 (Covid),11.50314631
2020 (Covid),14.55029088
2020 (Covid),11.18111735
2020 (Covid),11.82360461
2020 (Covid),15.68423975
2020 (Covid),2.440862128
2020 (Covid),13.1968091
2020 (Covid),11.28864261
2020 (Covid),15.37584121
2020 (Covid),15.68423975
