Year,SNR (dB)
2019 (Pre-Covid),0.929735488
2019 (Pre-Covid),12.35452908
2019 (Pre-Covid),6.405130353
2019 (Pre-Covid),10.53181728
2019 (Pre-Covid),10.31367075
2019 (Pre-Covid),-2.894077541
2019 (Pre-Covid),11.07340328
2019 (Pre-Covid),7.954879053
2019 (Pre-Covid),2.596853461
2019 (Pre-Covid),6.7709566
2019 (Pre-Covid),7.250596326
2019 (Pre-Covid),2.122590018
2019 (Pre-Covid),1.627761006
2019 (Pre-Covid),2.440862128
2020 (Covid),9.764089272
2020 (Covid),11.50314631
2020 (Covid),14.55029088
2020 (Covid),11.18111735
2020 (Covid),11.82360461
2020 (Covid),15.68423975
2020 (Covid),2.440862128
2020 (Covid),13.1968091
2020 (Covid),11.28864261
2020 (Covid),15.37584121
2020 (Covid),15.68423975
