Year,Delta Time (s)
2018 (Pre-Covid),0.939
2018 (Pre-Covid),0.489
2018 (Pre-Covid),0.857
2018 (Pre-Covid),0.52
2018 (Pre-Covid),0.788
2018 (Pre-Covid),0.485
2018 (Pre-Covid),0.797
2018 (Pre-Covid),0.472
2018 (Pre-Covid),0.766
2018 (Pre-Covid),0.494
2018 (Pre-Covid),0.849
2018 (Pre-Covid),0.42
2018 (Pre-Covid),0.905
2018 (Pre-Covid),0.511
2018 (Pre-Covid),0.805
2018 (Pre-Covid),0.489
2018 (Pre-Covid),0.983
2018 (Pre-Covid),0.463
2018 (Pre-Covid),0.827
2018 (Pre-Covid),0.502
2018 (Pre-Covid),0.918
2018 (Pre-Covid),0.472
2018 (Pre-Covid),0.991
2018 (Pre-Covid),0.632
2018 (Pre-Covid),1.251
2018 (Pre-Covid),0.701
2018 (Pre-Covid),0.922
2018 (Pre-Covid),0.654
2018 (Pre-Covid),1.048
2018 (Pre-Covid),0.533
2018 (Pre-Covid),1.104
2018 (Pre-Covid),0.632
2018 (Pre-Covid),1.16
2018 (Pre-Covid),0.68
2018 (Pre-Covid),1.095
2018 (Pre-Covid),1.256
2018 (Pre-Covid),0.727
2018 (Pre-Covid),1.104
2018 (Pre-Covid),1.273
2018 (Pre-Covid),1.277
2018 (Pre-Covid),0.706
2018 (Pre-Covid),1.084
2018 (Pre-Covid),1.286
2018 (Pre-Covid),0.643
2018 (Pre-Covid),1.243
2018 (Pre-Covid),0.961
2018 (Pre-Covid),1.108
2018 (Pre-Covid),0.576
2018 (Pre-Covid),1.041
2018 (Pre-Covid),1.206
2018 (Pre-Covid),1.157
2018 (Pre-Covid),1.078
2018 (Pre-Covid),0.625
2018 (Pre-Covid),0.851
2018 (Pre-Covid),0.422
2018 (Pre-Covid),1.133
2018 (Pre-Covid),0.514
2018 (Pre-Covid),0.894
2018 (Pre-Covid),0.527
2018 (Pre-Covid),0.967
2018 (Pre-Covid),0.435
2018 (Pre-Covid),0.876
2018 (Pre-Covid),0.38
2018 (Pre-Covid),0.918
2018 (Pre-Covid),0.441
2018 (Pre-Covid),0.937
2018 (Pre-Covid),0.582
2018 (Pre-Covid),0.961
2018 (Pre-Covid),0.6
2018 (Pre-Covid),0.986
2018 (Pre-Covid),0.459
2018 (Pre-Covid),1.091
2018 (Pre-Covid),0.965
2018 (Pre-Covid),0.584
2018 (Pre-Covid),1.195
2018 (Pre-Covid),0.649
2018 (Pre-Covid),0.961
2018 (Pre-Covid),0.667
2018 (Pre-Covid),0.965
2018 (Pre-Covid),0.554
2018 (Pre-Covid),0.801
2018 (Pre-Covid),1.169
2018 (Pre-Covid),0.623
2018 (Pre-Covid),0.805
2018 (Pre-Covid),1.126
2018 (Pre-Covid),0.671
2018 (Pre-Covid),0.901
2018 (Pre-Covid),0.862
2018 (Pre-Covid),0.563
2018 (Pre-Covid),0.931
2018 (Pre-Covid),0.594
2018 (Pre-Covid),0.814
2018 (Pre-Covid),0.437
2018 (Pre-Covid),0.775
2018 (Pre-Covid),0.528
2018 (Pre-Covid),0.844
2018 (Pre-Covid),0.472
2018 (Pre-Covid),1.026
2018 (Pre-Covid),1.359
2018 (Pre-Covid),1.424
2018 (Pre-Covid),1.069
2018 (Pre-Covid),0.888
2018 (Pre-Covid),1.056
2018 (Pre-Covid),0.593
2018 (Pre-Covid),0.853
2018 (Pre-Covid),0.455
2018 (Pre-Covid),0.836
2018 (Pre-Covid),0.346
2018 (Pre-Covid),0.723
2018 (Pre-Covid),0.442
2018 (Pre-Covid),0.892
2018 (Pre-Covid),0.394
2018 (Pre-Covid),0.766
2018 (Pre-Covid),0.403
2018 (Pre-Covid),0.775
2018 (Pre-Covid),0.385
2018 (Pre-Covid),0.784
2018 (Pre-Covid),0.403
2018 (Pre-Covid),0.61
2018 (Pre-Covid),0.416
2018 (Pre-Covid),0.849
2018 (Pre-Covid),0.398
2018 (Pre-Covid),0.797
2018 (Pre-Covid),0.833
2018 (Pre-Covid),0.784
2018 (Pre-Covid),0.502
2018 (Pre-Covid),0.814
2018 (Pre-Covid),0.441
2018 (Pre-Covid),0.961
2018 (Pre-Covid),0.582
2018 (Pre-Covid),1.047
2018 (Pre-Covid),0.459
2018 (Pre-Covid),1.004
2018 (Pre-Covid),0.508
2018 (Pre-Covid),0.998
2018 (Pre-Covid),0.833
2018 (Pre-Covid),0.388
2018 (Pre-Covid),0.891
2018 (Pre-Covid),0.48
2018 (Pre-Covid),1.014
2018 (Pre-Covid),0.425
2018 (Pre-Covid),1
2018 (Pre-Covid),0.466
2018 (Pre-Covid),0.775
2018 (Pre-Covid),0.455
2018 (Pre-Covid),1.134
2018 (Pre-Covid),1.56
2018 (Pre-Covid),0.959
2018 (Pre-Covid),0.494
2018 (Pre-Covid),0.911
2018 (Pre-Covid),0.543
2018 (Pre-Covid),0.892
2018 (Pre-Covid),1.014
2018 (Pre-Covid),0.562
2018 (Pre-Covid),0.935
2018 (Pre-Covid),0.888
2018 (Pre-Covid),0.901
2018 (Pre-Covid),1.095
2018 (Pre-Covid),1.043
2018 (Pre-Covid),0.489
2018 (Pre-Covid),1.108
2018 (Pre-Covid),0.74
2018 (Pre-Covid),1.087
2018 (Pre-Covid),0.606
2018 (Pre-Covid),1.13
2018 (Pre-Covid),0.485
2018 (Pre-Covid),0.913
2018 (Pre-Covid),0.965
2018 (Pre-Covid),0.424
2018 (Pre-Covid),0.931
2018 (Pre-Covid),1.004
2018 (Pre-Covid),0.875
2018 (Pre-Covid),0.502
2018 (Pre-Covid),0.688
2018 (Pre-Covid),0.758
2018 (Pre-Covid),1.488
2018 (Pre-Covid),0.851
2018 (Pre-Covid),0.38
2018 (Pre-Covid),0.802
2018 (Pre-Covid),0.465
2018 (Pre-Covid),0.974
2018 (Pre-Covid),0.528
2018 (Pre-Covid),1.017
2018 (Pre-Covid),0.502
2018 (Pre-Covid),0.84
2018 (Pre-Covid),0.563
2018 (Pre-Covid),0.955
2018 (Pre-Covid),0.41
2018 (Pre-Covid),1.225
2018 (Pre-Covid),0.637
2018 (Pre-Covid),0.931
2018 (Pre-Covid),1.176
2018 (Pre-Covid),1.188
2018 (Pre-Covid),1.096
2018 (Pre-Covid),0.533
2018 (Pre-Covid),1.414
2018 (Pre-Covid),1.292
2018 (Pre-Covid),0.557
2018 (Pre-Covid),0.876
2018 (Pre-Covid),1.194
2018 (Pre-Covid),1.316
2018 (Pre-Covid),0.612
2018 (Pre-Covid),1.212
2018 (Pre-Covid),0.618
2018 (Pre-Covid),1.231
2018 (Pre-Covid),0.661
2018 (Pre-Covid),1.071
2018 (Pre-Covid),0.655
2018 (Pre-Covid),1.078
2018 (Pre-Covid),1.316
2018 (Pre-Covid),1.127
2018 (Pre-Covid),1.457
2018 (Pre-Covid),1.396
2018 (Pre-Covid),1.096
2018 (Pre-Covid),1.274
2018 (Pre-Covid),0.551
2018 (Pre-Covid),1.261
2018 (Pre-Covid),1.114
2018 (Pre-Covid),1.084
2018 (Pre-Covid),1.365
2018 (Pre-Covid),0.551
2018 (Pre-Covid),1.169
2018 (Pre-Covid),0.514
2018 (Pre-Covid),1.194
2018 (Pre-Covid),0.453
2018 (Pre-Covid),1.139
2018 (Pre-Covid),0.582
2018 (Pre-Covid),0.98
2018 (Pre-Covid),0.931
2018 (Pre-Covid),0.502
2018 (Pre-Covid),1.114
2018 (Pre-Covid),0.471
2018 (Pre-Covid),0.931
2018 (Pre-Covid),0.863
2018 (Pre-Covid),0.398
2018 (Pre-Covid),0.876
2018 (Pre-Covid),0.41
2018 (Pre-Covid),0.814
2018 (Pre-Covid),0.349
2018 (Pre-Covid),0.594
