Year,High Frequency
2018 (Pre-Covid),614.1
2018 (Pre-Covid),519.2
2018 (Pre-Covid),515.4
2018 (Pre-Covid),519.2
2018 (Pre-Covid),565.7
2018 (Pre-Covid),524.7
2018 (Pre-Covid),539.6
2018 (Pre-Covid),537.8
2018 (Pre-Covid),496.3
2018 (Pre-Covid),501.7
2018 (Pre-Covid),553.6
2018 (Pre-Covid),533.9
2018 (Pre-Covid),525
2018 (Pre-Covid),507
2018 (Pre-Covid),499.9
2018 (Pre-Covid),501.7
2018 (Pre-Covid),505.2
2018 (Pre-Covid),494.5
2018 (Pre-Covid),637.5
2018 (Pre-Covid),547.2
2018 (Pre-Covid),610.9
2018 (Pre-Covid),527.7
2018 (Pre-Covid),513.5
2018 (Pre-Covid),541.8
2018 (Pre-Covid),531.2
2018 (Pre-Covid),504.7
2018 (Pre-Covid),500.4
2018 (Pre-Covid),498.6
2018 (Pre-Covid),505.9
2018 (Pre-Covid),495
2018 (Pre-Covid),507.7
2018 (Pre-Covid),518.5
2018 (Pre-Covid),520.4
2018 (Pre-Covid),513.1
2018 (Pre-Covid),512.9
2018 (Pre-Covid),512.9
2018 (Pre-Covid),490.9
2018 (Pre-Covid),487.3
2018 (Pre-Covid),489.1
2018 (Pre-Covid),540.4
2018 (Pre-Covid),520.3
2018 (Pre-Covid),626.5
2018 (Pre-Covid),580.7
2018 (Pre-Covid),584.4
2018 (Pre-Covid),472.6
2018 (Pre-Covid),494.6
2018 (Pre-Covid),500.1
2018 (Pre-Covid),505.6
2018 (Pre-Covid),503.8
2018 (Pre-Covid),487.3
2018 (Pre-Covid),501.9
2018 (Pre-Covid),527.6
2018 (Pre-Covid),509.3
2018 (Pre-Covid),498.7
2018 (Pre-Covid),491.7
2018 (Pre-Covid),491.7
2018 (Pre-Covid),482.9
2018 (Pre-Covid),490.1
2018 (Pre-Covid),476.1
2018 (Pre-Covid),513.7
2018 (Pre-Covid),501.4
2018 (Pre-Covid),524.3
2018 (Pre-Covid),510.6
2018 (Pre-Covid),508.8
2018 (Pre-Covid),498.5
2018 (Pre-Covid),502
2018 (Pre-Covid),507.1
2018 (Pre-Covid),489.9
2018 (Pre-Covid),495.1
2018 (Pre-Covid),531.2
2018 (Pre-Covid),496.8
2018 (Pre-Covid),609.2
2018 (Pre-Covid),518.5
2018 (Pre-Covid),516.7
2018 (Pre-Covid),614.6
2018 (Pre-Covid),607.4
2018 (Pre-Covid),513.1
2018 (Pre-Covid),543.9
2018 (Pre-Covid),511.3
2018 (Pre-Covid),515.3
2018 (Pre-Covid),641.6
2018 (Pre-Covid),635.7
2018 (Pre-Covid),682.9
2018 (Pre-Covid),635.7
2018 (Pre-Covid),630.2
2018 (Pre-Covid),624.8
2018 (Pre-Covid),652
2018 (Pre-Covid),615.7
2018 (Pre-Covid),523.1
2018 (Pre-Covid),564.1
2018 (Pre-Covid),513.5
2018 (Pre-Covid),522.3
2018 (Pre-Covid),531.2
2018 (Pre-Covid),495.6
2018 (Pre-Covid),497.4
2018 (Pre-Covid),533
2018 (Pre-Covid),515.2
2018 (Pre-Covid),507.5
2018 (Pre-Covid),577.2
2018 (Pre-Covid),468.3
2018 (Pre-Covid),505.3
2018 (Pre-Covid),505.3
2018 (Pre-Covid),627.2
2018 (Pre-Covid),612
2018 (Pre-Covid),502.2
2018 (Pre-Covid),510
2018 (Pre-Covid),516.1
2018 (Pre-Covid),499.9
2018 (Pre-Covid),510
2018 (Pre-Covid),524.2
2018 (Pre-Covid),487.7
2018 (Pre-Covid),516.1
2018 (Pre-Covid),602.6
2018 (Pre-Covid),492.7
2018 (Pre-Covid),494.2
2018 (Pre-Covid),532.2
2018 (Pre-Covid),532.2
2018 (Pre-Covid),507.5
2018 (Pre-Covid),518.9
2018 (Pre-Covid),513.2
2018 (Pre-Covid),520.8
2018 (Pre-Covid),549.3
2018 (Pre-Covid),511.3
2018 (Pre-Covid),490.9
2018 (Pre-Covid),500.8
2018 (Pre-Covid),518.5
2018 (Pre-Covid),498.8
2018 (Pre-Covid),504.7
2018 (Pre-Covid),492.9
2018 (Pre-Covid),528.4
2018 (Pre-Covid),532.3
2018 (Pre-Covid),524.4
2018 (Pre-Covid),510.6
2018 (Pre-Covid),522.4
2018 (Pre-Covid),543.6
2018 (Pre-Covid),519.4
2018 (Pre-Covid),512.1
2018 (Pre-Covid),490.3
2018 (Pre-Covid),487.9
2018 (Pre-Covid),497.6
2018 (Pre-Covid),487.9
2018 (Pre-Covid),458.7
2018 (Pre-Covid),466
2018 (Pre-Covid),491.2
2018 (Pre-Covid),469.2
2018 (Pre-Covid),483.9
2018 (Pre-Covid),488.8
2018 (Pre-Covid),515.7
2018 (Pre-Covid),503.4
2018 (Pre-Covid),457
2018 (Pre-Covid),388.6
2018 (Pre-Covid),513.2
2018 (Pre-Covid),508.1
2018 (Pre-Covid),500.2
2018 (Pre-Covid),521.3
2018 (Pre-Covid),630
2018 (Pre-Covid),501.1
2018 (Pre-Covid),512.1
2018 (Pre-Covid),510.2
2018 (Pre-Covid),514
2018 (Pre-Covid),592.7
2018 (Pre-Covid),588.8
2018 (Pre-Covid),502.5
2018 (Pre-Covid),508.3
2018 (Pre-Covid),504.4
2018 (Pre-Covid),500.6
2018 (Pre-Covid),506.4
2018 (Pre-Covid),509.8
2018 (Pre-Covid),505.7
2018 (Pre-Covid),515.9
2018 (Pre-Covid),478.9
2018 (Pre-Covid),505.7
2018 (Pre-Covid),493.3
2018 (Pre-Covid),481
2018 (Pre-Covid),483.1
2018 (Pre-Covid),493.3
2018 (Pre-Covid),493.3
2018 (Pre-Covid),511.4
2018 (Pre-Covid),487.9
2018 (Pre-Covid),496.9
2018 (Pre-Covid),514
2018 (Pre-Covid),517.8
2018 (Pre-Covid),531.3
2018 (Pre-Covid),512
2018 (Pre-Covid),514
2018 (Pre-Covid),515.9
2018 (Pre-Covid),501
2018 (Pre-Covid),492.9
2018 (Pre-Covid),478.3
2018 (Pre-Covid),465.3
2018 (Pre-Covid),481.5
2018 (Pre-Covid),486.4
2018 (Pre-Covid),588.1
2018 (Pre-Covid),477.7
2018 (Pre-Covid),476
2018 (Pre-Covid),598.5
2018 (Pre-Covid),617.4
2018 (Pre-Covid),596.7
2018 (Pre-Covid),484.6
2018 (Pre-Covid),595.2
2018 (Pre-Covid),635.1
2018 (Pre-Covid),601.8
2018 (Pre-Covid),480.5
2018 (Pre-Covid),483.8
2018 (Pre-Covid),641.7
2018 (Pre-Covid),631.7
2018 (Pre-Covid),512
2018 (Pre-Covid),477.1
2018 (Pre-Covid),608.5
2018 (Pre-Covid),624.6
2018 (Pre-Covid),473.1
2018 (Pre-Covid),476.5
2018 (Pre-Covid),471.6
2018 (Pre-Covid),465
2018 (Pre-Covid),602.3
2018 (Pre-Covid),514.6
2018 (Pre-Covid),511.3
2018 (Pre-Covid),498
2018 (Pre-Covid),477
2018 (Pre-Covid),507.7
2018 (Pre-Covid),506.1
2018 (Pre-Covid),616
2018 (Pre-Covid),496.4
2018 (Pre-Covid),640.3
2018 (Pre-Covid),646.7
2018 (Pre-Covid),887.7
2018 (Pre-Covid),871.5
2018 (Pre-Covid),640.3
2018 (Pre-Covid),514.2
2018 (Pre-Covid),522.7
2018 (Pre-Covid),634.7
2018 (Pre-Covid),507.4
2018 (Pre-Covid),610.9
2018 (Pre-Covid),502.3
2018 (Pre-Covid),524.4
2018 (Pre-Covid),646.6
2018 (Pre-Covid),514.2
2018 (Pre-Covid),619.4
2018 (Pre-Covid),522.5
2018 (Pre-Covid),622.9
2018 (Pre-Covid),617.7
2018 (Pre-Covid),646.7
2018 (Pre-Covid),646.7
2018 (Pre-Covid),639.8
2018 (Pre-Covid),617.6
2018 (Pre-Covid),615.4
2018 (Pre-Covid),499.6
2018 (Pre-Covid),659.2
2018 (Pre-Covid),657.4
2018 (Pre-Covid),648.7
2018 (Pre-Covid),503.2
2018 (Pre-Covid),877.2
2018 (Pre-Covid),487
2018 (Pre-Covid),622.1
2018 (Pre-Covid),643.7
2018 (Pre-Covid),530.3
2018 (Pre-Covid),495.3
2018 (Pre-Covid),613.7
2018 (Pre-Covid),652.1
2018 (Pre-Covid),648.7
2018 (Pre-Covid),492
2018 (Pre-Covid),513.7
2018 (Pre-Covid),612
2018 (Pre-Covid),660
2018 (Pre-Covid),628.8
