Year,Peak Frequency
2018 (Pre-Covid),234.4
2018 (Pre-Covid),199.2
2018 (Pre-Covid),210.9
2018 (Pre-Covid),234.4
2018 (Pre-Covid),199.2
2018 (Pre-Covid),234.4
2018 (Pre-Covid),234.4
2018 (Pre-Covid),222.7
2018 (Pre-Covid),187.5
2018 (Pre-Covid),234.4
2018 (Pre-Covid),187.5
2018 (Pre-Covid),234.4
2018 (Pre-Covid),234.4
2018 (Pre-Covid),234.4
2018 (Pre-Covid),187.5
2018 (Pre-Covid),210.9
2018 (Pre-Covid),222.7
2018 (Pre-Covid),234.4
2018 (Pre-Covid),210.9
2018 (Pre-Covid),234.4
2018 (Pre-Covid),199.2
2018 (Pre-Covid),210.9
2018 (Pre-Covid),199.2
2018 (Pre-Covid),234.4
2018 (Pre-Covid),210.9
2018 (Pre-Covid),234.4
2018 (Pre-Covid),234.4
2018 (Pre-Covid),234.4
2018 (Pre-Covid),222.7
2018 (Pre-Covid),234.4
2018 (Pre-Covid),199.2
2018 (Pre-Covid),234.4
2018 (Pre-Covid),199.2
2018 (Pre-Covid),234.4
2018 (Pre-Covid),210.9
2018 (Pre-Covid),210.9
2018 (Pre-Covid),234.4
2018 (Pre-Covid),199.2
2018 (Pre-Covid),199.2
2018 (Pre-Covid),210.9
2018 (Pre-Covid),234.4
2018 (Pre-Covid),210.9
2018 (Pre-Covid),234.4
2018 (Pre-Covid),222.7
2018 (Pre-Covid),222.7
2018 (Pre-Covid),210.9
2018 (Pre-Covid),210.9
2018 (Pre-Covid),222.7
2018 (Pre-Covid),210.9
2018 (Pre-Covid),210.9
2018 (Pre-Covid),210.9
2018 (Pre-Covid),210.9
2018 (Pre-Covid),222.7
2018 (Pre-Covid),210.9
2018 (Pre-Covid),234.4
2018 (Pre-Covid),210.9
2018 (Pre-Covid),222.7
2018 (Pre-Covid),210.9
2018 (Pre-Covid),199.2
2018 (Pre-Covid),210.9
2018 (Pre-Covid),234.4
2018 (Pre-Covid),234.4
2018 (Pre-Covid),234.4
2018 (Pre-Covid),234.4
2018 (Pre-Covid),234.4
2018 (Pre-Covid),234.4
2018 (Pre-Covid),234.4
2018 (Pre-Covid),199.2
