Year,RMS Amp (U)
2018 (Pre-Covid),178858.2
2018 (Pre-Covid),169597.4
2018 (Pre-Covid),177213
2018 (Pre-Covid),159258.2
2018 (Pre-Covid),193206.6
2018 (Pre-Covid),173074.5
2018 (Pre-Covid),179365.4
2018 (Pre-Covid),145215.8
2018 (Pre-Covid),157625.9
2018 (Pre-Covid),146634.4
2018 (Pre-Covid),178491
2018 (Pre-Covid),150028.4
2018 (Pre-Covid),177453.3
2018 (Pre-Covid),178800.2
2018 (Pre-Covid),170051.4
2018 (Pre-Covid),139725.9
2018 (Pre-Covid),161122.2
2018 (Pre-Covid),147850.7
2018 (Pre-Covid),178800.8
2018 (Pre-Covid),157637.4
2018 (Pre-Covid),178081
2018 (Pre-Covid),166085.3
2018 (Pre-Covid),173737.2
2018 (Pre-Covid),160689.3
2018 (Pre-Covid),166025
2018 (Pre-Covid),145966.9
2018 (Pre-Covid),164543.1
2018 (Pre-Covid),158079.8
2018 (Pre-Covid),165140.8
2018 (Pre-Covid),153574.5
2018 (Pre-Covid),169291.3
2018 (Pre-Covid),156489.3
2018 (Pre-Covid),177260.7
2018 (Pre-Covid),156594.1
2018 (Pre-Covid),181319.7
2018 (Pre-Covid),178197.7
2018 (Pre-Covid),167988
2018 (Pre-Covid),172636.5
2018 (Pre-Covid),165360.9
2018 (Pre-Covid),179455
2018 (Pre-Covid),164580.9
2018 (Pre-Covid),171221.2
2018 (Pre-Covid),163046.1
2018 (Pre-Covid),163289.6
2018 (Pre-Covid),134797.1
2018 (Pre-Covid),177699.2
2018 (Pre-Covid),189206.8
2018 (Pre-Covid),189251.5
2018 (Pre-Covid),178078.3
2018 (Pre-Covid),171512.9
2018 (Pre-Covid),181033.4
2018 (Pre-Covid),178530.7
2018 (Pre-Covid),155784
2018 (Pre-Covid),185650.3
2018 (Pre-Covid),183658.4
2018 (Pre-Covid),174735.7
2018 (Pre-Covid),174057.1
2018 (Pre-Covid),174872.1
2018 (Pre-Covid),154309
2018 (Pre-Covid),176985.4
2018 (Pre-Covid),174683.9
2018 (Pre-Covid),169743
2018 (Pre-Covid),160501.3
2018 (Pre-Covid),182844.3
2018 (Pre-Covid),165984.8
2018 (Pre-Covid),191720.9
2018 (Pre-Covid),176990.4
2018 (Pre-Covid),164467.7
2018 (Pre-Covid),161538.9
2018 (Pre-Covid),190851.8
2018 (Pre-Covid),160960.6
2018 (Pre-Covid),176461.8
2018 (Pre-Covid),186940.6
2018 (Pre-Covid),172512.8
2018 (Pre-Covid),171978.7
2018 (Pre-Covid),162252.6
2018 (Pre-Covid),175346.1
2018 (Pre-Covid),171362
2018 (Pre-Covid),183557.4
2018 (Pre-Covid),180629.9
2018 (Pre-Covid),206446.9
2018 (Pre-Covid),185604.3
2018 (Pre-Covid),185967.9
2018 (Pre-Covid),193206.4
2018 (Pre-Covid),193783.9
2018 (Pre-Covid),182961.1
2018 (Pre-Covid),191205.2
2018 (Pre-Covid),181256.1
2018 (Pre-Covid),166257.6
2018 (Pre-Covid),170385.6
2018 (Pre-Covid),166270.4
2018 (Pre-Covid),195373.9
2018 (Pre-Covid),175169.5
2018 (Pre-Covid),169738.1
2018 (Pre-Covid),153781.3
2018 (Pre-Covid),174476
2018 (Pre-Covid),163558.1
2018 (Pre-Covid),190055.4
2018 (Pre-Covid),161939.9
2018 (Pre-Covid),196319.4
2018 (Pre-Covid),188963.9
2018 (Pre-Covid),205927.7
2018 (Pre-Covid),185977.8
2018 (Pre-Covid),173528.9
2018 (Pre-Covid),177911.9
2018 (Pre-Covid),170052.4
2018 (Pre-Covid),185395.2
2018 (Pre-Covid),190970.4
2018 (Pre-Covid),186899.4
2018 (Pre-Covid),156026.5
2018 (Pre-Covid),176896
2018 (Pre-Covid),153534.8
2018 (Pre-Covid),176133.6
2018 (Pre-Covid),176340.2
2018 (Pre-Covid),183026
2018 (Pre-Covid),158657.6
2018 (Pre-Covid),175012.6
2018 (Pre-Covid),160533.5
2018 (Pre-Covid),171226.3
2018 (Pre-Covid),175474.3
2018 (Pre-Covid),174210.4
2018 (Pre-Covid),160170.3
2018 (Pre-Covid),184182.1
2018 (Pre-Covid),173581.9
2018 (Pre-Covid),190052.2
2018 (Pre-Covid),174641.5
2018 (Pre-Covid),191109.4
2018 (Pre-Covid),164510.3
2018 (Pre-Covid),212297.3
2018 (Pre-Covid),208827.6
2018 (Pre-Covid),239482.2
2018 (Pre-Covid),236224.9
2018 (Pre-Covid),278624.2
2018 (Pre-Covid),272539.4
2018 (Pre-Covid),6615.9
2018 (Pre-Covid),175023.1
2018 (Pre-Covid),154770.4
2018 (Pre-Covid),174603.7
2018 (Pre-Covid),174957
2018 (Pre-Covid),170897
2018 (Pre-Covid),172468.7
2018 (Pre-Covid),154315.7
2018 (Pre-Covid),151950.2
2018 (Pre-Covid),143688.9
2018 (Pre-Covid),132809.6
2018 (Pre-Covid),145227.2
2018 (Pre-Covid),148292.2
2018 (Pre-Covid),173311.5
2018 (Pre-Covid),156913.1
2018 (Pre-Covid),157906.9
2018 (Pre-Covid),152042.5
2018 (Pre-Covid),174499.9
2018 (Pre-Covid),189427.6
2018 (Pre-Covid),176085.2
2018 (Pre-Covid),158914.8
2018 (Pre-Covid),173484.7
2018 (Pre-Covid),175639.1
2018 (Pre-Covid),169309.8
2018 (Pre-Covid),165050.6
2018 (Pre-Covid),159716.7
2018 (Pre-Covid),153069.8
2018 (Pre-Covid),140997.9
2018 (Pre-Covid),181978.1
2018 (Pre-Covid),174347
2018 (Pre-Covid),170158.6
2018 (Pre-Covid),166981.1
2018 (Pre-Covid),167804.4
2018 (Pre-Covid),183425.4
2018 (Pre-Covid),176123.3
2018 (Pre-Covid),187938.1
2018 (Pre-Covid),159385.3
2018 (Pre-Covid),215949.7
2018 (Pre-Covid),193195.6
2018 (Pre-Covid),182329.2
2018 (Pre-Covid),161078
2018 (Pre-Covid),161396.8
2018 (Pre-Covid),161489.3
2018 (Pre-Covid),156829.8
