RMS,Spectrogram,Name,Sample Size,Calibration,Start Time,End Time,Duration (secs),RMS dB,Max RMS dB,Min RMS dB,99% dB,95% dB,90% dB,50% dB,10% dB,5% dB,1% dB,Peak dB,SEL dB,Weighting
X,X,Bocas del Toro-AlmiranteSOUNDTRAP 2019,0.10 secs,almirante2019cal.cal,0:05,0:06,54.3,114.3,141.3,97.9,105.8,103.5,102.9,101,99.5,99.1,98.6,146.6,131.7,Unweighted
X,X,Bocas del Toro-AlmiranteSOUNDTRAP 2019,0.10 secs,almirante2019cal.cal,0:15,0:16,54.3,114.3,141.3,97.6,106.5,103.2,102.6,100.8,99.4,98.9,98.4,146.6,131.7,Unweighted
X,X,Bocas del Toro-AlmiranteSOUNDTRAP 2019,0.10 secs,almirante2019cal.cal,0:25,0:26,54.4,139.6,166.7,97.7,112.8,103.4,102.8,101.4,99.9,99.7,99.2,173.5,157,Unweighted
X,X,Bocas del Toro-AlmiranteSOUNDTRAP 2019,0.10 secs,almirante2019cal.cal,0:35,0:36,50.2,102.1,107.9,99.2,104.7,103.8,103.2,101.9,100.8,100.5,100,133.7,119.1,Unweighted
X,X,Bocas del Toro-AlmiranteSOUNDTRAP 2019,0.10 secs,almirante2019cal.cal,0:45,0:46,53.1,101.2,106.4,97.2,105.5,103.2,102.6,100.9,99.4,99.1,98.4,132.5,118.5,Unweighted
X,X,Bocas del Toro-AlmiranteSOUNDTRAP 2019,0.10 secs,almirante2019cal.cal,0:55,0:56,52.3,102,113.3,97.9,111.5,103.8,102.8,101,99.6,99.2,98.8,132.7,119.2,Unweighted
X,X,Bocas del Toro-AlmiranteSOUNDTRAP 2019,0.10 secs,almirante2019cal.cal,1:15,1:16,53.5,101.2,112.6,97.9,104.1,103,102.5,100.8,99.5,99.1,98.5,135,118.4,Unweighted
X,X,Bocas del Toro-AlmiranteSOUNDTRAP 2019,0.10 secs,almirante2019cal.cal,1:25,1:26,53.1,101.3,104.7,97.9,104.3,103.1,102.7,101.1,99.7,99.4,98.6,132.5,118.5,Unweighted
X,X,Bocas del Toro-AlmiranteSOUNDTRAP 2019,0.10 secs,almirante2019cal.cal,1:35,1:36,53.4,103.6,126.9,98.2,104.6,103.1,102.6,101.1,99.7,99.4,98.6,133.2,120.9,Unweighted
X,X,Bocas del Toro-AlmiranteSOUNDTRAP 2019,0.10 secs,almirante2019cal.cal,1:45,1:46,53.8,101.5,112.7,98.3,104.1,103.2,102.8,101.2,99.9,99.6,99.2,131.1,118.9,Unweighted
X,X,Bocas del Toro-AlmiranteSOUNDTRAP 2019,0.10 secs,almirante2019cal.cal,1:55,1:56,40.4,115.6,141.3,97.3,113.3,104.4,103,101.1,99.7,99.4,98.5,146.7,131.6,Unweighted
X,X,Bocas del Toro-AlmiranteSOUNDTRAP 2019,0.10 secs,almirante2019cal.cal,2:05,2:06,53.5,102.2,114.1,97.9,111.4,103.6,103.1,101.2,99.8,99.5,98.7,133.8,119.5,Unweighted
X,X,Bocas del Toro-AlmiranteSOUNDTRAP 2019,0.10 secs,almirante2019cal.cal,2:15,2:16,52.8,101.5,106.9,97.9,105.3,103.7,103,101.2,99.7,99.3,98.4,132.7,118.7,Unweighted
X,X,Bocas del Toro-AlmiranteSOUNDTRAP 2019,0.10 secs,almirante2019cal.cal,2:25,2:26,53.5,100.8,108.3,97.4,104,102.6,102.1,100.5,99.1,98.7,98.1,132.9,118.1,Unweighted
X,X,Bocas del Toro-AlmiranteSOUNDTRAP 2019,0.10 secs,almirante2019cal.cal,2:35,2:36,53.7,102.4,107.3,100.1,105.1,104,103.5,102.2,101.2,100.9,100.4,132.7,119.7,Unweighted
X,X,Bocas del Toro-AlmiranteSOUNDTRAP 2019,0.10 secs,almirante2019cal.cal,2:45,2:46,52.4,101.8,107.5,99.1,104.9,103.4,103,101.6,100.3,100,99.4,131,119,Unweighted
X,X,Bocas del Toro-AlmiranteSOUNDTRAP 2019,0.10 secs,almirante2019cal.cal,2:55,2:56,52.8,101,108,97.1,105.1,103.3,102.6,100.7,99.2,98.8,98.2,134.7,118.3,Unweighted
X,X,Bocas del Toro-AlmiranteSOUNDTRAP 2019,0.10 secs,almirante2019cal.cal,3:05,3:06,52.9,100.6,104.7,96.3,103.5,102.5,101.9,100.4,99,98.5,97.6,133,117.8,Unweighted
X,X,Bocas del Toro-AlmiranteSOUNDTRAP 2019,0.10 secs,almirante2019cal.cal,3:15,3:16,53,101.2,104.8,97,104.2,103.3,102.8,100.9,99.3,98.9,98.1,132.1,118.4,Unweighted
X,X,Bocas del Toro-AlmiranteSOUNDTRAP 2019,0.10 secs,almirante2019cal.cal,3:25,3:26,52.7,101,105.8,97,104.2,103.1,102.4,100.7,99.3,98.8,98.4,136.5,118.2,Unweighted
X,X,Bocas del Toro-AlmiranteSOUNDTRAP 2019,0.10 secs,almirante2019cal.cal,3:35,3:36,52.8,100.8,105.2,97.2,103.9,102.9,102.4,100.6,98.9,98.5,98,132.7,118,Unweighted
X,X,Bocas del Toro-AlmiranteSOUNDTRAP 2019,0.10 secs,almirante2019cal.cal,3:45,3:46,53,101.8,108.8,99.1,105,103.7,102.9,101.5,100.5,100.3,99.7,132.9,119.1,Unweighted
X,X,Bocas del Toro-AlmiranteSOUNDTRAP 2019,0.10 secs,almirante2019cal.cal,3:55,3:56,53.3,102.6,108.4,100.4,105.3,104.2,103.7,102.4,101.4,101.2,100.8,140.3,119.9,Unweighted
X,X,Bocas del Toro-AlmiranteSOUNDTRAP 2019,0.10 secs,almirante2019cal.cal,4:05,4:06,52.1,102.4,108.6,98.6,105.5,104.1,103.5,102.2,100.8,100.3,99.5,137.3,119.6,Unweighted
X,X,Bocas del Toro-AlmiranteSOUNDTRAP 2019,0.10 secs,almirante2019cal.cal,4:15,4:16,52.8,100.8,107,97.6,103.8,103,102.4,100.5,98.9,98.7,98.1,134.9,118,Unweighted
X,X,Bocas del Toro-AlmiranteSOUNDTRAP 2019,0.10 secs,almirante2019cal.cal,4:25,4:26,52.9,100.8,112,96.5,104,102.7,102.2,100.3,98.8,98.4,97.6,142.9,118,Unweighted
X,X,Bocas del Toro-AlmiranteSOUNDTRAP 2019,0.10 secs,almirante2019cal.cal,4:35,4:36,53.5,103.9,113.5,101.6,106.6,105.5,105.1,103.6,102.6,102.3,101.9,133.3,121.2,Unweighted
X,X,Bocas del Toro-AlmiranteSOUNDTRAP 2019,0.10 secs,almirante2019cal.cal,4:45,4:46,52.9,100.7,109.7,97.8,104.3,102.8,102.2,100.4,99.1,98.8,98.4,133.2,118,Unweighted
