Year,Start Time,RMS (dB) Average
2019 (Pre-Covid),0:10,111.9666667
2019 (Pre-Covid),0:20,106.1
2019 (Pre-Covid),0:30,114.9666667
2019 (Pre-Covid),0:40,101.4333333
2019 (Pre-Covid),0:50,101.1666667
2019 (Pre-Covid),1:00,101.7
2019 (Pre-Covid),1:20,101
2019 (Pre-Covid),1:30,101.3333333
2019 (Pre-Covid),1:40,101.8
2019 (Pre-Covid),1:50,110.0333333
2019 (Pre-Covid),2:00,106.7333333
2019 (Pre-Covid),2:10,101.2666667
2019 (Pre-Covid),2:20,101.1
2019 (Pre-Covid),2:30,100.8
2019 (Pre-Covid),2:40,101.4666667
2019 (Pre-Covid),2:50,102.1
2019 (Pre-Covid),3:00,100.8
2019 (Pre-Covid),3:10,100.6666667
2019 (Pre-Covid),3:20,100.8333333
2019 (Pre-Covid),3:30,101.5
2019 (Pre-Covid),3:40,100.9333333
2019 (Pre-Covid),3:50,101.2333333
2019 (Pre-Covid),4:00,101.4
2019 (Pre-Covid),4:10,110.2
2019 (Pre-Covid),4:20,100.6666667
2019 (Pre-Covid),4:30,100.6
2019 (Pre-Covid),4:40,101.5666667
2019 (Pre-Covid),4:50,101.8
2019 (Pre-Covid),5:00,100.8333333
2019 (Pre-Covid),5:10,100.4666667
2019 (Pre-Covid),5:20,100.3666667
2019 (Pre-Covid),5:30,100.5333333
2019 (Pre-Covid),5:40,100.8666667
2019 (Pre-Covid),5:50,101.7333333
2019 (Pre-Covid),6:00,102
2019 (Pre-Covid),6:10,106.7
2019 (Pre-Covid),6:20,108.5
2019 (Pre-Covid),6:30,104.3666667
2019 (Pre-Covid),6:40,102.4
2019 (Pre-Covid),6:50,106.8
2019 (Pre-Covid),7:00,109.0333333
2019 (Pre-Covid),7:10,100.6333333
2019 (Pre-Covid),7:20,104.6
2019 (Pre-Covid),7:30,108.2333333
2019 (Pre-Covid),7:40,114.6666667
2019 (Pre-Covid),7:50,116.7666667
2019 (Pre-Covid),8:00,103.4
2019 (Pre-Covid),8:10,107.9333333
2019 (Pre-Covid),8:20,109.6
2019 (Pre-Covid),8:30,101
2019 (Pre-Covid),8:40,107.8666667
2019 (Pre-Covid),8:50,109.5333333
2019 (Pre-Covid),9:00,106.1333333
2019 (Pre-Covid),9:10,104.8666667
2019 (Pre-Covid),9:20,108.8
2019 (Pre-Covid),9:30,109.6333333
2019 (Pre-Covid),9:40,101.8333333
2019 (Pre-Covid),9:50,109.1333333
2019 (Pre-Covid),10:00,101.4666667
2019 (Pre-Covid),10:10,104
2019 (Pre-Covid),10:20,106.1333333
2019 (Pre-Covid),10:30,105.9
2019 (Pre-Covid),10:40,104.4
2019 (Pre-Covid),10:50,102.3
2019 (Pre-Covid),11:00,114.2666667
2019 (Pre-Covid),11:10,105.7666667
2019 (Pre-Covid),11:20,105.6666667
2019 (Pre-Covid),11:30,110.9
2019 (Pre-Covid),11:40,99.83333333
2019 (Pre-Covid),11:50,105.3666667
2019 (Pre-Covid),12:00,107.4333333
2019 (Pre-Covid),12:10,100.3333333
2019 (Pre-Covid),12:20,103.7666667
2019 (Pre-Covid),12:30,111.7333333
2019 (Pre-Covid),12:40,101.4666667
2019 (Pre-Covid),12:50,104.8666667
2019 (Pre-Covid),13:00,106.0333333
2019 (Pre-Covid),13:10,105.4
2019 (Pre-Covid),13:20,111.7333333
2019 (Pre-Covid),13:30,105.5666667
2019 (Pre-Covid),13:40,103.2666667
2019 (Pre-Covid),13:50,107.8
2019 (Pre-Covid),14:00,105.5333333
2019 (Pre-Covid),14:10,100.7
2019 (Pre-Covid),14:20,106.5333333
2019 (Pre-Covid),14:30,104.9333333
2019 (Pre-Covid),14:40,101.0333333
2019 (Pre-Covid),14:50,99.6
2019 (Pre-Covid),15:00,105.5666667
2019 (Pre-Covid),15:10,106
2019 (Pre-Covid),15:20,103.5333333
2019 (Pre-Covid),15:30,106.1666667
2019 (Pre-Covid),15:40,105.3
2019 (Pre-Covid),15:50,112.6
2019 (Pre-Covid),16:00,105.0333333
2019 (Pre-Covid),16:10,110.8
2019 (Pre-Covid),16:20,107.5666667
2019 (Pre-Covid),16:30,101.5
2019 (Pre-Covid),16:40,109.9
2019 (Pre-Covid),16:50,103.8333333
2019 (Pre-Covid),17:00,107
2019 (Pre-Covid),17:10,104.9666667
2019 (Pre-Covid),17:20,105.3333333
2019 (Pre-Covid),17:30,100.1666667
2019 (Pre-Covid),17:40,103.7666667
2019 (Pre-Covid),17:50,107.0666667
2019 (Pre-Covid),18:00,109.3666667
2019 (Pre-Covid),18:10,112.0333333
2019 (Pre-Covid),18:20,105.1
2019 (Pre-Covid),18:30,110.1666667
2019 (Pre-Covid),18:40,101.1
2019 (Pre-Covid),18:50,103.1
2019 (Pre-Covid),19:00,103.5666667
2019 (Pre-Covid),19:10,107.2
2019 (Pre-Covid),19:20,102.2
2019 (Pre-Covid),19:30,103.6
2019 (Pre-Covid),19:40,103.1333333
2019 (Pre-Covid),19:50,101.7333333
2019 (Pre-Covid),20:00,106.5
2019 (Pre-Covid),20:10,101.4333333
2019 (Pre-Covid),20:20,107.2666667
2019 (Pre-Covid),20:30,101.8
2019 (Pre-Covid),20:40,108.6333333
2019 (Pre-Covid),20:50,103.6
2019 (Pre-Covid),21:00,103.0666667
2019 (Pre-Covid),21:10,101.8666667
2019 (Pre-Covid),21:20,102.3666667
2019 (Pre-Covid),21:30,101.7666667
2019 (Pre-Covid),21:40,101.6
2019 (Pre-Covid),21:50,105.2666667
2019 (Pre-Covid),22:00,102.9
2019 (Pre-Covid),22:30,109.1
2019 (Pre-Covid),22:40,109.7666667
2019 (Pre-Covid),22:50,106.9
2019 (Pre-Covid),23:00,106.2666667
2019 (Pre-Covid),23:10,107.4
2019 (Pre-Covid),23:20,110.2666667
2019 (Pre-Covid),23:30,106.6666667
2019 (Pre-Covid),23:40,109.0333333
2019 (Pre-Covid),23:50,108.7666667
2019 (Pre-Covid),0:00,108.7333333
2020 (Covid),0:00,100.9
2020 (Covid),0:10,108.2666667
2020 (Covid),0:20,100.1666667
2020 (Covid),0:30,100.3
2020 (Covid),0:40,100.2666667
2020 (Covid),0:50,100.0666667
2020 (Covid),1:00,100.2333333
2020 (Covid),1:10,101.2
2020 (Covid),1:20,99.96666667
2020 (Covid),1:30,99.96666667
2020 (Covid),1:40,99.86666667
2020 (Covid),1:50,99.7
2020 (Covid),2:00,101.7
2020 (Covid),2:10,101.8333333
2020 (Covid),2:20,101.8333333
2020 (Covid),2:30,101.8666667
2020 (Covid),2:40,101.7333333
2020 (Covid),2:50,101.9333333
2020 (Covid),3:00,103.1
2020 (Covid),3:10,102.3
2020 (Covid),3:20,102.0666667
2020 (Covid),3:30,102.2
2020 (Covid),3:40,101.8666667
2020 (Covid),3:50,102.2
2020 (Covid),4:00,105.3
2020 (Covid),4:10,103.7
2020 (Covid),4:20,102.9666667
2020 (Covid),4:30,102.0333333
2020 (Covid),4:40,102.2
2020 (Covid),4:50,102.0666667
2020 (Covid),5:00,102
2020 (Covid),5:10,102.1
2020 (Covid),5:20,101.7333333
2020 (Covid),5:30,101.8333333
2020 (Covid),5:40,102.5
2020 (Covid),5:50,104.3333333
2020 (Covid),6:00,105.6333333
2020 (Covid),6:10,103.9
2020 (Covid),6:20,103.2333333
2020 (Covid),6:30,102.3
2020 (Covid),6:40,102.3333333
2020 (Covid),6:50,103.3333333
2020 (Covid),7:00,101.8333333
2020 (Covid),7:10,101.7333333
2020 (Covid),7:20,102.3
2020 (Covid),7:30,104.3
2020 (Covid),7:40,103.8666667
2020 (Covid),7:50,102.7666667
2020 (Covid),8:00,103.4
2020 (Covid),8:10,107.5333333
2020 (Covid),8:20,107.3333333
2020 (Covid),8:30,102.5333333
2020 (Covid),8:40,102.1333333
2020 (Covid),8:50,102.4333333
2020 (Covid),9:00,102.5333333
2020 (Covid),9:10,104.8
2020 (Covid),9:20,102.8666667
2020 (Covid),9:30,102.5666667
2020 (Covid),9:40,102.6
2020 (Covid),9:50,102.2
2020 (Covid),10:00,105.4
2020 (Covid),10:10,101.4666667
2020 (Covid),10:20,101.8333333
2020 (Covid),10:30,104.2666667
2020 (Covid),10:40,101.7
2020 (Covid),10:50,103.75
2020 (Covid),11:00,103.5
2020 (Covid),11:10,103.47
2020 (Covid),11:20,106.9
2020 (Covid),11:30,101.47
2020 (Covid),11:40,102.63
2020 (Covid),11:50,105.77
2020 (Covid),12:00,107.6
2020 (Covid),12:10,101.23
2020 (Covid),12:20,100.3
2020 (Covid),12:30,104
