Year,RMS dB,Start Time
2019 (Pre-Covid),114.3,0:05
2019 (Pre-Covid),114.3,0:15
2019 (Pre-Covid),139.6,0:25
2019 (Pre-Covid),102.1,0:35
2019 (Pre-Covid),101.2,0:45
2019 (Pre-Covid),102,0:55
2019 (Pre-Covid),101.2,1:15
2019 (Pre-Covid),101.3,1:25
2019 (Pre-Covid),103.6,1:35
2019 (Pre-Covid),101.5,1:45
2019 (Pre-Covid),115.6,1:55
2019 (Pre-Covid),102.2,2:05
2019 (Pre-Covid),101.5,2:15
2019 (Pre-Covid),100.8,2:25
2019 (Pre-Covid),102.4,2:35
2019 (Pre-Covid),101.8,2:45
2019 (Pre-Covid),101,2:55
2019 (Pre-Covid),100.6,3:05
2019 (Pre-Covid),101.2,3:15
2019 (Pre-Covid),101,3:25
2019 (Pre-Covid),100.8,3:35
2019 (Pre-Covid),101.8,3:45
2019 (Pre-Covid),102.6,3:55
2019 (Pre-Covid),102.4,4:05
2019 (Pre-Covid),100.8,4:15
2019 (Pre-Covid),100.8,4:25
2019 (Pre-Covid),103.9,4:35
2019 (Pre-Covid),100.7,4:45
2019 (Pre-Covid),101.6,4:55
2019 (Pre-Covid),100.7,5:05
2019 (Pre-Covid),100.5,5:15
2019 (Pre-Covid),100.6,5:25
2019 (Pre-Covid),101.2,5:35
2019 (Pre-Covid),101.5,5:45
2019 (Pre-Covid),101.5,5:55
2019 (Pre-Covid),104.3,6:05
2019 (Pre-Covid),115.6,6:15
2019 (Pre-Covid),111.3,6:25
2019 (Pre-Covid),105.9,6:35
2019 (Pre-Covid),119.1,6:45
2019 (Pre-Covid),109.2,6:55
2019 (Pre-Covid),100.8,7:05
2019 (Pre-Covid),103.2,7:15
2019 (Pre-Covid),109,7:25
2019 (Pre-Covid),102,7:35
2019 (Pre-Covid),119.5,7:45
2019 (Pre-Covid),100.8,7:55
2019 (Pre-Covid),101.2,8:05
2019 (Pre-Covid),111.3,8:15
2019 (Pre-Covid),101.5,8:25
2019 (Pre-Covid),113.3,8:35
2019 (Pre-Covid),112.6,8:45
2019 (Pre-Covid),103.1,8:55
2019 (Pre-Covid),101.3,9:05
2019 (Pre-Covid),105.4,9:15
2019 (Pre-Covid),110.6,9:25
2019 (Pre-Covid),101.2,9:35
2019 (Pre-Covid),118.1,9:45
2019 (Pre-Covid),100.3,9:55
2019 (Pre-Covid),102.9,10:05
2019 (Pre-Covid),115.9,10:15
2019 (Pre-Covid),101.4,10:25
2019 (Pre-Covid),101.1,10:35
2019 (Pre-Covid),101.5,10:45
2019 (Pre-Covid),103.3,10:55
2019 (Pre-Covid),102.5,11:05
2019 (Pre-Covid),111.4,11:15
2019 (Pre-Covid),113.7,11:25
2019 (Pre-Covid),100.3,11:35
2019 (Pre-Covid),103,11:45
2019 (Pre-Covid),103.5,11:55
2019 (Pre-Covid),100.7,12:05
2019 (Pre-Covid),101.7,12:15
2019 (Pre-Covid),121.3,12:25
2019 (Pre-Covid),100.4,12:35
2019 (Pre-Covid),108.3,12:45
2019 (Pre-Covid),102.5,12:55
2019 (Pre-Covid),101.9,13:05
2019 (Pre-Covid),107.6,13:15
2019 (Pre-Covid),103.1,13:25
2019 (Pre-Covid),104.5,13:35
2019 (Pre-Covid),101.9,13:45
2019 (Pre-Covid),101,13:55
2019 (Pre-Covid),100.3,14:05
2019 (Pre-Covid),100.7,14:15
2019 (Pre-Covid),101.5,14:25
2019 (Pre-Covid),100.1,14:35
2019 (Pre-Covid),100,14:45
2019 (Pre-Covid),99.8,14:55
2019 (Pre-Covid),108.2,15:05
